2020-03-03 17:03:57,825 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@938] - Client attempting to establish new session at /127.0.0.1:36074
2020-03-03 17:03:57,827 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@683] - Established session 0x100c275a4af0001 with negotiated timeout 4000 for client /127.0.0.1:36074
2020-03-03 17:04:21,242 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@215] - Accepted socket connection from /127.0.0.1:36078
2020-03-03 17:04:21,245 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@938] - Client attempting to establish new session at /127.0.0.1:36078
2020-03-03 17:04:21,246 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@683] - Established session 0x100c275a4af0002 with negotiated timeout 4000 for client /127.0.0.1:36078
2020-03-03 17:05:41,087 [myid:] - WARN  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@376] - Unable to read additional data from client sessionid 0x100c275a4af0001, likely client has closed socket
2020-03-03 17:05:41,088 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1040] - Closed socket connection for client /127.0.0.1:36074 which had sessionid 0x100c275a4af0001
2020-03-03 17:05:44,246 [myid:] - INFO  [SessionTracker:ZooKeeperServer@354] - Expiring session 0x100c275a4af0001, timeout of 4000ms exceeded
2020-03-03 17:05:44,246 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x100c275a4af0001
2020-03-03 17:07:13,273 [myid:] - WARN  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@376] - Unable to read additional data from client sessionid 0x100c275a4af0002, likely client has closed socket
2020-03-03 17:07:13,273 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1040] - Closed socket connection for client /127.0.0.1:36078 which had sessionid 0x100c275a4af0002
2020-03-03 17:07:18,246 [myid:] - INFO  [SessionTracker:ZooKeeperServer@354] - Expiring session 0x100c275a4af0002, timeout of 4000ms exceeded
2020-03-03 17:07:18,246 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x100c275a4af0002
2020-03-03 17:34:58,527 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@215] - Accepted socket connection from /127.0.0.1:36122
2020-03-03 17:34:58,529 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@938] - Client attempting to establish new session at /127.0.0.1:36122
2020-03-03 17:34:58,531 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@683] - Established session 0x100c275a4af0003 with negotiated timeout 4000 for client /127.0.0.1:36122
2020-03-03 17:35:07,722 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@215] - Accepted socket connection from /127.0.0.1:36126
2020-03-03 17:35:07,724 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@938] - Client attempting to establish new session at /127.0.0.1:36126
2020-03-03 17:35:07,725 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@683] - Established session 0x100c275a4af0004 with negotiated timeout 4000 for client /127.0.0.1:36126
2020-03-03 17:38:47,863 [myid:] - WARN  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@376] - Unable to read additional data from client sessionid 0x100c275a4af0003, likely client has closed socket
2020-03-03 17:38:47,863 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1040] - Closed socket connection for client /127.0.0.1:36122 which had sessionid 0x100c275a4af0003
2020-03-03 17:38:52,245 [myid:] - INFO  [SessionTracker:ZooKeeperServer@354] - Expiring session 0x100c275a4af0003, timeout of 4000ms exceeded
2020-03-03 17:38:52,245 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x100c275a4af0003
2020-03-03 17:39:37,799 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@215] - Accepted socket connection from /127.0.0.1:36152
2020-03-03 17:39:37,802 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@938] - Client attempting to establish new session at /127.0.0.1:36152
2020-03-03 17:39:37,804 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@683] - Established session 0x100c275a4af0005 with negotiated timeout 4000 for client /127.0.0.1:36152
2020-03-03 17:40:27,080 [myid:] - WARN  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@376] - Unable to read additional data from client sessionid 0x100c275a4af0005, likely client has closed socket
2020-03-03 17:40:27,081 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1040] - Closed socket connection for client /127.0.0.1:36152 which had sessionid 0x100c275a4af0005
2020-03-03 17:40:30,246 [myid:] - INFO  [SessionTracker:ZooKeeperServer@354] - Expiring session 0x100c275a4af0005, timeout of 4000ms exceeded
2020-03-03 17:40:30,246 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x100c275a4af0005
2020-03-03 17:44:08,452 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@215] - Accepted socket connection from /127.0.0.1:36182
2020-03-03 17:44:08,454 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@938] - Client attempting to establish new session at /127.0.0.1:36182
2020-03-03 17:44:08,455 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@683] - Established session 0x100c275a4af0006 with negotiated timeout 4000 for client /127.0.0.1:36182
2020-03-03 17:44:08,788 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@215] - Accepted socket connection from /127.0.0.1:36186
2020-03-03 17:44:08,790 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@938] - Client attempting to establish new session at /127.0.0.1:36186
2020-03-03 17:44:08,792 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@683] - Established session 0x100c275a4af0007 with negotiated timeout 4000 for client /127.0.0.1:36186
2020-03-03 17:44:09,114 [myid:] - WARN  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@376] - Unable to read additional data from client sessionid 0x100c275a4af0007, likely client has closed socket
2020-03-03 17:44:09,114 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1040] - Closed socket connection for client /127.0.0.1:36186 which had sessionid 0x100c275a4af0007
2020-03-03 17:44:14,246 [myid:] - INFO  [SessionTracker:ZooKeeperServer@354] - Expiring session 0x100c275a4af0007, timeout of 4000ms exceeded
2020-03-03 17:44:14,246 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x100c275a4af0007
2020-03-03 17:44:24,100 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@215] - Accepted socket connection from /127.0.0.1:36192
2020-03-03 17:44:24,102 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@938] - Client attempting to establish new session at /127.0.0.1:36192
2020-03-03 17:44:24,104 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@683] - Established session 0x100c275a4af0008 with negotiated timeout 4000 for client /127.0.0.1:36192
2020-03-03 17:45:08,749 [myid:] - WARN  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@376] - Unable to read additional data from client sessionid 0x100c275a4af0006, likely client has closed socket
2020-03-03 17:45:08,749 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1040] - Closed socket connection for client /127.0.0.1:36182 which had sessionid 0x100c275a4af0006
2020-03-03 17:45:12,245 [myid:] - INFO  [SessionTracker:ZooKeeperServer@354] - Expiring session 0x100c275a4af0006, timeout of 4000ms exceeded
2020-03-03 17:45:12,246 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x100c275a4af0006
2020-03-03 17:48:26,984 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@215] - Accepted socket connection from /127.0.0.1:36214
2020-03-03 17:48:26,986 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@938] - Client attempting to establish new session at /127.0.0.1:36214
